11389,7423,5,2000-05-31
11389,7584,5,2000-05-31
11389,7585,3,2000-05-31
8736,6119,3,2000-06-05
2309,777,5,2000-06-06
8682,6119,4,2000-06-06
8686,6119,5,2000-06-06
8859,6119,4,2000-06-06
8862,6119,4,2000-06-06
9001,6152,4,2000-06-06
11412,7427,5,2000-06-06
14829,12019,5,2000-06-06
4888,12072,3,2000-06-06
4888,12093,3,2000-06-06
16952,14326,2,2000-06-06
2579,1174,5,2000-06-07
3964,2254,5,2000-06-07
3964,4129,2,2000-06-07
8127,6016,5,2000-06-07
8693,6119,5,2000-06-07
829,6119,4,2000-06-07
8705,6119,5,2000-06-07
3964,6151,5,2000-06-07
3964,6152,4,2000-06-07
8518,7423,2,2000-06-07
3964,7423,4,2000-06-07
11388,7423,5,2000-06-07
11552,7534,5,2000-06-07
3964,7585,5,2000-06-07
8518,7589,4,2000-06-07
3964,11299,5,2000-06-07
3964,11901,5,2000-06-07
3964,11920,4,2000-06-07
10344,11920,4,2000-06-07
245,11931,4,2000-06-07
14694,11973,5,2000-06-07
3964,11982,4,2000-06-07
14731,11982,3,2000-06-07
8519,11982,5,2000-06-07
3964,12005,5,2000-06-07
8519,12005,5,2000-06-07
8801,12005,5,2000-06-07
245,12014,5,2000-06-07
14804,12014,3,2000-06-07
3964,12034,1,2000-06-07
7610,12071,5,2000-06-07
3964,12093,3,2000-06-07
3964,13199,4,2000-06-07
8488,14315,2,2000-06-07
245,14326,1,2000-06-07
16934,14326,1,2000-06-07
14804,14428,3,2000-06-07
120,1174,5,2000-06-08
2579,1176,4,2000-06-08
4888,3152,4,2000-06-08
4888,3161,5,2000-06-08
3964,3167,5,2000-06-08
3964,3171,5,2000-06-08
245,6015,4,2000-06-08
8130,6016,2,2000-06-08
245,6019,4,2000-06-08
8732,6119,5,2000-06-08
8742,6119,5,2000-06-08
8747,6119,5,2000-06-08
120,6119,4,2000-06-08
8801,6119,5,2000-06-08
8520,6122,3,2000-06-08
8130,6159,4,2000-06-08
245,6247,5,2000-06-08
8488,7504,5,2000-06-08
14623,11926,5,2000-06-08
8747,11931,4,2000-06-08
14708,11973,5,2000-06-08
8488,12003,5,2000-06-08
8801,12014,3,2000-06-08
4888,12034,4,2000-06-08
8747,12072,2,2000-06-08
3964,12098,4,2000-06-08
8520,12961,4,2000-06-08
8488,14316,5,2000-06-08
8488,14317,5,2000-06-08
8488,14318,3,2000-06-08
8747,14428,4,2000-06-08
3846,2246,4,2000-06-09
9124,6161,3,2000-06-09
10344,6652,4,2000-06-09
9124,11918,2,2000-06-09
9124,11920,5,2000-06-09
9124,12014,4,2000-06-09
8520,12044,2,2000-06-09
14885,12055,5,2000-06-09
16904,14308,1,2000-06-09
3941,2252,5,2000-06-10
9124,12025,5,2000-06-10
8488,14326,4,2000-06-10
17027,14400,5,2000-06-10
8488,14405,5,2000-06-10
8488,14408,5,2000-06-10
7657,5047,5,2000-06-11
14713,11973,5,2000-06-11
14971,12096,5,2000-06-11
15181,12135,2,2000-06-11
9124,13199,4,2000-06-11
8488,14395,3,2000-06-11
8488,14397,4,2000-06-11
8488,14398,5,2000-06-11
17078,14428,5,2000-06-11
828,65,4,2000-06-12
3708,2222,5,2000-06-12
5985,4125,5,2000-06-12
8280,6119,4,2000-06-12
8732,6152,5,2000-06-12
14691,11973,5,2000-06-12
14741,11982,4,2000-06-12
3965,12014,3,2000-06-12
14869,12033,5,2000-06-12
14691,14326,4,2000-06-12
14691,14384,5,2000-06-12
3965,14428,4,2000-06-12
774,59,5,2000-06-13
829,65,1,2000-06-13
774,1177,5,2000-06-13
3635,2217,5,2000-06-13
7571,5015,4,2000-06-13
7659,5049,4,2000-06-13
8658,6112,5,2000-06-13
7659,6112,4,2000-06-13
810,6119,5,2000-06-13
8685,6119,5,2000-06-13
8688,6119,5,2000-06-13
774,6159,5,2000-06-13
7659,7372,4,2000-06-13
7659,7381,3,2000-06-13
3708,7393,5,2000-06-13
7659,7442,4,2000-06-13
11494,7487,4,2000-06-13
11975,7726,4,2000-06-13
12279,7919,4,2000-06-13
12507,8302,5,2000-06-13
12671,8623,4,2000-06-13
7659,11918,3,2000-06-13
7659,11960,5,2000-06-13
3965,11973,4,2000-06-13
7659,11987,3,2000-06-13
14827,12019,4,2000-06-13
11389,12051,1,2000-06-13
10344,12516,4,2000-06-13
7659,12575,2,2000-06-13
16381,13199,5,2000-06-13
16927,14326,2,2000-06-13
774,14326,5,2000-06-13
6049,4129,2,2000-06-14
8117,6016,5,2000-06-14
8192,6032,4,2000-06-14
245,6055,5,2000-06-14
245,6056,4,2000-06-14
245,6057,4,2000-06-14
245,6058,4,2000-06-14
2303,6119,5,2000-06-14
8690,6119,5,2000-06-14
3741,6119,5,2000-06-14
6049,6119,4,2000-06-14
8192,6119,5,2000-06-14
11633,7584,5,2000-06-14
6049,11931,4,2000-06-14
6049,11973,5,2000-06-14
3965,12005,4,2000-06-14
14894,12072,3,2000-06-14
774,12093,3,2000-06-14
3965,12135,2,2000-06-14
16382,13199,5,2000-06-14
8690,14326,1,2000-06-14
16928,14326,2,2000-06-14
120,11,5,2000-06-15
726,56,4,2000-06-15
2304,777,5,2000-06-15
120,1177,5,2000-06-15
181,2246,4,2000-06-15
726,2266,4,2000-06-15
