17589	15611:0	8388:1	3865:2	5769:3	3865:4	2318:5	425:6	6958:7	11024:8	13723:9	
17521	13528:0	314:1	13518:2	2672:3	15442:4	11397:5	13518:6	13193:7	13531:8	13581:9	
17501	14416:0	5:1	10100:2	1243:3	337:4	138:5	2525:6	4634:7	12257:8	6159:9	
17469	10136:0	13620:1	13683:2	337:3	13528:4	1042:5	15765:6	6322:7	1279:8	2821:9	
17413	6697:0	12314:1	14500:2	14391:3	14533:4	11276:5	2366:6	11183:7	4584:8	3253:9	
17372	3171:0	12370:1	2966:2	10742:3	1079:4	15914:5	7387:6	4195:7	7126:8	1146:9	
17354	4131:0	11925:1	5016:2	2487:3	53:4	11299:5	11925:6	1177:7	6006:8	10313:9	
17335	13164:0	3250:1	23:2	11428:3	6272:4	15045:5	14803:6	15039:7	2530:8	7584:9	
17317	6445:0	2354:1	101:2	2310:3	10978:4	4186:5	5117:6	1211:7	14547:8	12975:9	
17278	14488:0	2:1	12439:2	1211:3	6468:4	2295:5	3217:6	4428:7	5329:8	10731:9	
17238	12322:0	15045:1	4167:2	6219:3	685:4	14514:5	23:6	2733:7	3173:8	1189:9	
17183	14396:0	10584:1	12342:2	2276:3	7332:4	7783:5	1189:6	3242:7	48:8	4157:9	
17141	1177:0	12102:1	6032:2	4168:3	53:4	6032:5	11103:6	11920:7	12088:8	14429:9	
17096	12105:0	5049:1	41:2	2250:3	6016:4	12088:5	14428:6	4127:7	1177:8	2251:9	
17028	2252:0	10140:1	1175:2	59:3	14385:4	4296:5	5049:6	14402:7	6016:8	13180:9	
17025	14428:0	14325:1	14404:2	14308:3	2267:4	48:5	3154:6	10251:7	12975:8	6068:9	
17020	14326:0	14432:1	11649:2	2252:3	4157:4	1177:5	11649:6	11973:7	6016:8	48:9	
17008	14428:0	14326:1	23:2	14311:3	11649:4	12105:5	6068:6	4104:7	1307:8	2672:9	
16962	2353:0	14308:1	12109:2	6090:3	12241:4	12167:5	14308:6	36:7	11255:8	14888:9	
16958	14350:0	11916:1	1:2	1174:3	14445:4	2218:5	14400:6	14445:7	6161:8	3166:9	
16957	4130:0	3744:1	14354:2	11920:3	2219:4	14326:5	1307:6	6068:7	33:8	48:9	
16913	20:0	13199:1	6016:2	1177:3	14428:4	11649:5	1313:6	4137:7	11920:8	2318:9	
16912	21:0	6028:1	14316:2	14317:3	5264:4	14343:5	14354:6	2239:7	14315:8	12105:9	
16909	10871:0	4167:1	11:2	6140:3	2349:4	1183:5	5036:6	12789:7	7407:8	14311:9	
16871	520:0	14167:1	13347:2	3918:3	2991:4	4922:5	6600:6	14167:7	10047:8	13528:9	
16799	13121:0	13788:1	13861:2	13746:3	1867:4	13963:5	13959:6	14501:7	13788:8	11682:9	
16796	2252:0	26:1	6997:2	4131:3	5049:4	10107:5	15520:6	11976:7	1177:8	53:9	
16771	4632:0	1457:1	15573:2	6663:3	403:4	390:5	13412:6	11020:7	6829:8	2804:9	
16586	8769:0	1670:1	13277:2	101:3	3203:4	4192:5	12425:6	14555:7	2321:8	6331:9	
16493	215:0	11365:1	431:2	6265:3	4467:4	13341:5	1307:6	2386:7	13097:8	15263:9	
16469	10107:0	2233:1	11895:2	48:3	1177:4	4138:5	14423:6	6020:7	6006:8	5049:9	
16452	11166:0	1870:1	14735:2	13923:3	383:4	2733:5	6482:6	5426:7	7626:8	1289:9	
16432	102:0	13143:1	5574:2	15058:3	11020:4	4209:5	6581:6	12100:7	2439:8	13024:9	
16412	14326:0	11920:1	12102:2	3154:3	1177:4	4167:5	2252:6	21:7	12089:8	6068:9	
16390	14326:0	1177:1	12102:2	101:3	1819:4	6159:5	2252:6	4127:7	3154:8	6016:9	
16383	14326:0	11920:1	2252:2	4167:3	2252:4	11973:5	101:6	12089:7	6016:8	3154:9	
16374	3526:0	12468:1	14888:2	315:3	12268:4	6291:5	12021:6	11111:7	12975:8	13552:9	
16362	6016:0	6068:1	12089:2	10313:3	36:4	4137:5	14326:6	13199:7	14325:8	2250:9	
16355	12454:0	12442:1	10576:2	14561:3	181:4	2607:5	4206:6	1457:7	6613:8	7919:9	
16353	12454:0	12442:1	1457:2	4207:3	10182:4	14506:5	4206:6	2607:7	6613:8	101:9	
16285	6247:0	12975:1	1177:2	4167:3	3173:4	2276:5	10313:6	4168:7	14435:8	53:9	
16262	11915:0	403:1	16050:2	2999:3	1429:4	6304:5	11915:6	11973:7	10049:8	11356:9	
16246	6156:0	11925:1	34:2	4172:3	1177:4	10107:5	6145:6	11976:7	2487:8	5049:9	
16234	3744:0	1327:1	13551:2	6145:3	11900:4	4167:5	2219:6	314:7	11696:8	15096:9	
16232	5079:0	3384:1	6331:2	14398:3	12654:4	2733:5	14721:6	4653:7	56:8	10360:9	
16221	13025:0	13025:1	12034:2	272:3	3739:4	10483:5	7596:6	4192:7	12279:8	2344:9	
16198	4192:0	1935:1	10738:2	272:3	3739:4	6565:5	14951:6	13068:7	1243:8	8316:9	
16149	36:0	11321:1	13121:2	12101:3	6159:4	2256:5	3744:6	11973:7	14429:8	4167:9	
16130	13121:0	11321:1	6159:2	36:3	1818:4	2256:5	12101:6	3744:7	14429:8	4167:9	
16113	2389:0	13496:1	1387:2	15377:3	13431:4	13567:5	11346:6	13067:7	1047:8	3882:9	
16091	13728:0	4117:1	2908:2	1447:3	53:4	11765:5	6089:6	15442:7	15409:8	5046:9	
16071	11895:0	1177:1	16:2	11299:3	5016:4	12086:5	5016:6	2487:7	6006:8	4172:9	
16046	4138:0	11925:1	6006:2	10313:3	16:4	14325:5	5016:6	3165:7	1177:8	2218:9	
16034	10107:0	48:1	2487:2	1177:3	11925:4	14423:5	5016:6	6020:7	6006:8	53:9	
15997	13181:0	14753:1	6089:2	5046:3	30:4	6428:5	1177:6	1305:7	6607:8	2233:9	
15992	158:0	13923:1	1516:2	11623:3	6539:4	4538:5	2553:6	14499:7	3488:8	13301:9	
15983	11925:0	11925:1	48:2	11299:3	1177:4	2487:5	6728:6	4131:7	12086:8	5016:9	
15958	13181:0	12200:1	1179:2	6588:3	4214:4	5639:5	5859:6	2916:7	390:8	12959:9	
